Lautaro Martínez	87	ST++	8400
Mike Maignan	87	GK++	19750
Nicolò Barella	87	CM++ CDM	8000
Alessandro Bastoni	86	CB++	4300
Federico Dimarco	86	LB++ LM	4000
Gleison Bremer Silva Nascimento	86	CB++	37000
Marco Carnesecchi	86	GK++	4300
Scott McTominay	86	CM++ CDM, CAM	4800
Adrien Rabiot	85	CM++ CDM	7800
Hakan Çalhanoğlu	85	CDM++ CM	2100
Kevin De Bruyne	85	CAM++ CM	2200
Luka Modrić	85	CM++ CDM, CAM	2000
Marcus Thuram	85	ST	0
Mile Svilar	85	GK++	5500
Paulo Dybala	85	CAM++ ST	17000
Gianluca Mancini	84	CB++	800
Kenan Yıldız	84	CAM LM, ST, LW	6100
Manuel Locatelli	84	CDM++ CM	800
Nicolás Paz Martínez	84	CAM ST	850
Wladimiro Falcone	84	GK++	850
Amir Rrahmani	83	CB	750
Christian Pulisic	83	CAM++ RM, RW, ST	19500
David De Gea Quintana	83	GK	800
Donyell Malen	83	ST	7400
Evan Ndicka	83	CB	750
Ivan Provedel	83	GK	750
Manuel Akanji	83	CB	700
Rafael da Conceição Leão	83	LW LM, ST, CAM	0
Stanislav Lobotka	83	CM CDM	700
André-Franck Zambo Anguissa	82	CM CAM	750
Domenico Berardi	82	RW++ RM	700
Éderson José dos Santos	82	CM++ CDM	650
Giovanni Di Lorenzo	82	RB CB, RM	650
John Stones	82	CB	650
Mattia Zaccagni	82	LW++ LM	700
Moise Kean	82	ST	700
Pedro António Pereira Gonçalves	82	LM CAM, LW	650
Piotr Zieliński	82	CM CDM, CAM	700
Riccardo Orsolini	82	RM RW	650
Alessandro Buongiorno	81	CB	650
Alessio Romagnoli	81	CB	0
Alex Meret	81	GK	650
Bryan Cristante	81	CM CDM	650
Charles De Ketelaere	81	CAM ST	650
David Neres Campos	81	LW++ LM	650
Henrikh Mkhitaryan	81	CM CAM	650
Kamil Grabara	81	GK	650
Khéphren Thuram	81	CM CDM	3700
Kouadio Manu Koné	81	CM CAM	700
Luis Milla Manzanares	81	CM CDM	650
Mario Gila Fuentes	81	CB	950
Mario Hermoso Canseco	81	CB	650
Pierre Kalulu	81	CB RB	700
Alexis Saelemaekers	80	RB RM	650
Andrea Cambiaso	80	LB RB, RM, LM	750
Armand Laurienté	80	LW LM	700
Benjamin Pavard	80	CB	700
Carlos Augusto Zopolato Neves	80	LB CB, LM	650
Christopher Nkunku	80	ST CAM	0
Curtis Jones	80	CM CDM, CAM	0
Davide Frattesi	80	CM CAM	650
Djed Spence	80	LB RB	1100
Elia Caprile	80	GK	650
Fikayo Tomori	80	CB	2800
Francisco Conceição	80	CAM RM, RW, ST	700
Gonçalo Matias Ramos	80	ST	650
Guglielmo Vicario	80	GK	650
Jonathan David	80	ST	0
Leonardo Spinazzola	80	LB LM	650
Marten de Roon	80	CM CDM	700
Matías Soulé	80	CAM ST	650
Matteo Gabbia	80	CB	650
Matteo Politano	80	RW RM	650
Michele Di Gregorio	80	GK	0
Nick Woltemade	80	ST CAM	650
Nikola Vlašić	80	CAM CM	650
Robert Lynch Sánchez	80	GK	650
Trevoh Chalobah	80	CB	650
Vanja Milinković-Savić	80	GK	700
Wesley Vinícius França Lima	80	LB RB, RM, LM	1100
Weston McKennie	80	CM RM, CAM, RW	700
Youssouf Fofana	80	CM CAM	0
Alejandro Jiménez Sánchez	79	RB RM	650
Artem Dovbyk	79	ST	650
Danilho Doekhi	79	CB	650
